column,KS_statistic,pass_ks,psi,pass_psi,real_mean,synthetic_mean,mean_abs_diff,real_median,synthetic_median,median_abs_diff,real_std,synthetic_std,std_abs_diff
credit_score,0.0127,True,0.0033,True,650.5288,650.5949,0.0661,652.0,652.0,0.0,96.6533,92.4671,4.1862
age,0.0211,True,0.0073,True,38.9218,38.7771,0.1447,37.0,37.0,0.0,10.4878,10.0448,0.443
tenure,0.0302,True,0.0377,True,5.0128,4.9906,0.0222,5.0,5.0,0.0,2.8922,2.7514,0.1407
balance,0.0307,True,0.0143,True,76485.8893,75732.9045,752.9848,97198.54,98776.1352,1577.5952,62397.4052,60504.1014,1893.3038
products_number,0.0124,True,0.0001,True,1.5302,1.5073,0.0229,1.0,1.0,0.0,0.5817,0.5389,0.0428
credit_card,0.0437,True,,False,0.7055,0.7492,0.0437,1.0,1.0,0.0,0.4558,0.4335,0.0223
active_member,0.0072,True,,False,0.5151,0.5079,0.0072,1.0,1.0,0.0,0.4998,0.5,0.0002
churn,0.0401,True,,False,0.2037,0.1636,0.0401,0.0,0.0,0.0,0.4028,0.3699,0.0328
estimated_salary,0.1298,False,0.3315,False,100090.2399,98659.8593,1430.3805,100193.915,98167.5434,2026.3716,57510.4928,42117.8823,15392.6105
